Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited,Cost
DFS Iterative List,18,8,2,10,8->12->16->15->14->10->9->5->1->2,9,27
DFS Iterative Matrix,12,8,2,10,8->12->16->15->14->13->9->5->6->2,9,145
DFS Recursive List,12,8,2,4,8->4->3->2,3,45
DFS Recrusive Matrix,16,8,2,4,8->4->3->2,3,240
DFS Iterative List,1,15,15,1,15,0,1
DFS Iterative Matrix,1,15,15,1,15,0,1
DFS Recursive List,1,15,15,1,15,0,0
DFS Recrusive Matrix,0,15,15,1,15,0,0
DFS Iterative List,9,5,1,2,5->1,1,47
DFS Iterative Matrix,5,5,1,2,5->1,1,241
DFS Recursive List,6,5,1,2,5->1,1,46
DFS Recrusive Matrix,6,5,1,2,5->1,1,240
DFS Iterative List,1,1,5,2,1->5,1,3
DFS Iterative Matrix,1,1,5,2,1->5,1,17
DFS Recursive List,4,1,5,4,1->2->6->5,3,45
DFS Recrusive Matrix,11,1,5,8,1->2->3->4->8->7->6->5,7,240
DFS Iterative List,6,6,15,6,6->7->8->12->16->15,5,17
DFS Iterative Matrix,3,6,15,4,6->10->14->15,3,49
DFS Recursive List,11,6,15,8,6->2->1->5->9->10->14->15,7,45
DFS Recrusive Matrix,24,6,15,14,6->2->1->5->9->10->11->7->3->4->8->12->16->15,13,240
DFS Iterative List,4,1,9,3,1->5->9,2,6
DFS Iterative Matrix,3,1,9,3,1->5->9,2,33
DFS Recursive List,9,1,9,5,1->2->6->5->9,4,45
DFS Recrusive Matrix,26,1,9,9,1->2->3->4->8->7->6->5->9,8,240
DFS Iterative List,7,1,16,7,1->5->9->13->14->15->16,6,17
DFS Iterative Matrix,3,1,16,7,1->5->9->13->14->15->16,6,97
DFS Recursive List,20,1,16,15,1->2->6->5->9->10->14->15->11->7->3->4->8->12->16,14,46
DFS Recrusive Matrix,20,1,16,13,1->2->3->4->8->7->6->5->9->10->11->12->16,12,240
DFS Iterative List,7,6,11,3,6->7->11,2,30
DFS Iterative Matrix,5,6,11,3,6->10->11,2,161
DFS Recursive List,12,6,11,9,6->2->1->5->9->10->14->15->11,8,44
DFS Recrusive Matrix,32,6,11,7,6->2->1->5->9->10->11,6,240
DFS Iterative List,8,4,9,8,4->8->12->16->15->14->10->9,7,21
