Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited,Cost
DFS Iterative List,24,11,3,5,11->12->8->4->3,4,15
DFS Iterative Matrix,85,11,3,9,11->15->14->13->9->5->6->2->3,8,145
DFS Recursive List,50,11,3,3,11->7->3,2,45
DFS Recrusive Matrix,24,11,3,3,11->7->3,2,240
DFS Iterative List,17,13,3,8,13->14->15->16->12->8->7->3,7,33
DFS Iterative Matrix,68,13,3,8,13->14->15->16->12->8->7->3,7,177
DFS Recursive List,24,13,3,12,13->9->5->1->2->6->10->14->15->11->7->3,11,45
DFS Recrusive Matrix,26,13,3,6,13->9->5->1->2->3,5,240
DFS Iterative List,78,16,7,4,16->12->11->7,3,39
DFS Iterative Matrix,17,16,7,8,16->15->14->13->9->5->6->7,7,113
DFS Recursive List,41,16,7,12,16->15->14->13->9->5->1->2->6->10->11->7,11,44
DFS Recrusive Matrix,32,16,7,10,16->12->8->4->3->2->1->5->6->7,9,240
DFS Iterative List,9,3,11,5,3->4->8->12->11,4,38
DFS Iterative Matrix,3,3,11,3,3->7->11,2,33
DFS Recursive List,74,3,11,11,3->2->1->5->6->10->9->13->14->15->11,10,44
DFS Recrusive Matrix,32,3,11,9,3->2->1->5->6->7->8->12->11,8,240
DFS Iterative List,4,6,7,2,6->7,1,5
DFS Iterative Matrix,29,6,7,2,6->7,1,193
DFS Recursive List,26,6,7,10,6->2->1->5->9->10->14->15->11->7,9,44
DFS Recrusive Matrix,43,6,7,8,6->2->1->5->9->10->11->7,7,240
DFS Iterative List,13,11,16,3,11->12->16,2,8
DFS Iterative Matrix,221,11,16,3,11->15->16,2,33
DFS Recursive List,18,11,16,13,11->7->3->2->1->5->6->10->9->13->14->15->16,12,46
DFS Recrusive Matrix,152,11,16,13,11->7->3->2->1->5->6->10->9->13->14->15->16,12,240
DFS Iterative List,63,14,1,9,14->15->16->12->8->7->6->5->1,8,29
DFS Iterative Matrix,19,14,1,9,14->15->16->12->8->7->6->5->1,8,145
DFS Recursive List,28,14,1,5,14->13->9->5->1,4,46
DFS Recrusive Matrix,20,14,1,5,14->10->6->2->1,4,240
DFS Iterative List,16,1,15,6,1->5->9->13->14->15,5,14
DFS Iterative Matrix,14,1,15,6,1->5->9->13->14->15,5,81
DFS Recursive List,19,1,15,8,1->2->6->5->9->10->14->15,7,45
DFS Recrusive Matrix,38,1,15,14,1->2->3->4->8->7->6->5->9->10->11->12->16->15,13,240
DFS Iterative List,27,6,16,5,6->7->8->12->16,4,15
DFS Iterative Matrix,4,6,16,5,6->10->14->15->16,4,65
DFS Recursive List,14,6,16,15,6->2->1->5->9->10->14->15->11->7->3->4->8->12->16,14,46
DFS Recrusive Matrix,28,6,16,13,6->2->1->5->9->10->11->7->3->4->8->12->16,12,240
DFS Iterative List,25,9,6,9,9->13->14->15->16->12->8->7->6,8,24
DFS Iterative Matrix,41,9,6,9,9->13->14->15->16->12->8->7->6,8,129
DFS Recursive List,48,9,6,5,9->5->1->2->6,4,44
DFS Recrusive Matrix,55,9,6,9,9->5->1->2->3->4->8->7->6,8,240
DFS Iterative List,10,7,12,3,7->8->12,2,8
DFS Iterative Matrix,14,7,12,3,7->11->12,2,161
DFS Recursive List,36,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,12,45
DFS Recrusive Matrix,34,7,12,13,7->3->2->1->5->6->10->9->13->14->15->11->12,12,240
DFS Iterative List,12,3,9,9,3->4->8->12->16->15->14->10->9,8,24
DFS Iterative Matrix,15,3,9,7,3->7->11->15->14->13->9,6,113
DFS Recursive List,19,3,9,7,3->2->1->5->6->10->9,6,45
DFS Recrusive Matrix,115,3,9,11,3->2->1->5->6->7->8->12->11->10->9,10,240
DFS Iterative List,11,1,15,6,1->5->9->13->14->15,5,14
DFS Iterative Matrix,9,1,15,6,1->5->9->13->14->15,5,81
DFS Recursive List,15,1,15,8,1->2->6->5->9->10->14->15,7,45
DFS Recrusive Matrix,25,1,15,14,1->2->3->4->8->7->6->5->9->10->11->12->16->15,13,240
DFS Iterative List,11,3,13,8,3->4->8->12->16->15->14->13,7,36
DFS Iterative Matrix,6,3,13,6,3->7->11->15->14->13,5,97
DFS Recursive List,15,3,13,8,3->2->1->5->6->10->9->13,7,46
DFS Recrusive Matrix,20,3,13,12,3->2->1->5->6->7->8->12->11->10->9->13,11,240
DFS Iterative List,12,8,6,7,8->12->16->15->14->10->6,6,33
DFS Iterative Matrix,63,8,6,9,8->12->16->15->14->13->9->5->6,8,129
DFS Recursive List,11,8,6,7,8->4->3->2->1->5->6,6,44
DFS Recrusive Matrix,26,8,6,7,8->4->3->2->1->5->6,6,240
DFS Iterative List,5,5,15,5,5->9->13->14->15,4,12
DFS Iterative Matrix,2,5,15,5,5->9->13->14->15,4,65
DFS Recursive List,10,5,15,9,5->1->2->6->10->9->13->14->15,8,45
DFS Recrusive Matrix,28,5,15,13,5->1->2->3->4->8->7->6->10->9->13->14->15,12,240
DFS Iterative List,8,6,7,2,6->7,1,5
DFS Iterative Matrix,5,6,7,2,6->7,1,193
DFS Recursive List,17,6,7,10,6->2->1->5->9->10->14->15->11->7,9,44
DFS Recrusive Matrix,33,6,7,8,6->2->1->5->9->10->11->7,7,240
DFS Iterative List,10,7,10,7,7->8->12->16->15->14->10,6,19
DFS Iterative Matrix,7,7,10,3,7->11->10,2,177
DFS Recursive List,13,7,10,7,7->3->2->1->5->6->10,6,44
DFS Recrusive Matrix,28,7,10,7,7->3->2->1->5->6->10,6,240
DFS Iterative List,7,3,15,6,3->4->8->12->16->15,5,14
DFS Iterative Matrix,4,3,15,4,3->7->11->15,3,49
DFS Recursive List,14,3,15,10,3->2->1->5->6->10->9->13->14->15,9,45
DFS Recrusive Matrix,29,3,15,14,3->2->1->5->6->7->8->12->11->10->9->13->14->15,13,240
DFS Iterative List,9,2,1,2,2->1,1,47
DFS Iterative Matrix,19,2,1,2,2->1,1,241
DFS Recursive List,10,2,1,2,2->1,1,46
DFS Recrusive Matrix,15,2,1,2,2->1,1,240
DFS Iterative List,10,4,10,7,4->8->12->16->15->14->10,6,17
DFS Iterative Matrix,11,4,10,7,4->8->12->16->15->14->10,6,193
DFS Recursive List,11,4,10,7,4->3->2->1->5->6->10,6,44
DFS Recrusive Matrix,32,4,10,11,4->3->2->1->5->6->7->8->12->11->10,10,240
DFS Iterative List,17,4,5,9,4->8->12->16->15->14->10->9->5,8,24
DFS Iterative Matrix,9,4,5,9,4->8->12->16->15->14->13->9->5,8,129
DFS Recursive List,15,4,5,5,4->3->2->1->5,4,45
DFS Recrusive Matrix,22,4,5,5,4->3->2->1->5,4,240
DFS Iterative List,8,15,16,2,15->16,1,4
DFS Iterative Matrix,13,15,16,2,15->16,1,17
DFS Recursive List,52,15,16,16,15->14->13->9->5->1->2->6->10->11->7->3->4->8->12->16,15,46
DFS Recrusive Matrix,20,15,16,8,15->11->7->3->4->8->12->16,7,240
DFS Iterative List,21,2,5,11,2->3->4->8->12->16->15->14->10->9->5,10,30
DFS Iterative Matrix,15,2,5,3,2->6->5,2,209
DFS Recursive List,16,2,5,3,2->1->5,2,45
DFS Recrusive Matrix,26,2,5,3,2->1->5,2,240
DFS Iterative List,5,15,16,2,15->16,1,4
DFS Iterative Matrix,3,15,16,2,15->16,1,17
DFS Recursive List,26,15,16,16,15->14->13->9->5->1->2->6->10->11->7->3->4->8->12->16,15,46
DFS Recrusive Matrix,14,15,16,8,15->11->7->3->4->8->12->16,7,240
DFS Iterative List,11,3,7,2,3->7,1,42
DFS Iterative Matrix,7,3,7,2,3->7,1,17
DFS Recursive List,19,3,7,12,3->2->1->5->6->10->9->13->14->15->11->7,11,44
DFS Recrusive Matrix,35,3,7,6,3->2->1->5->6->7,5,240
DFS Iterative List,12,5,11,6,5->9->13->14->15->11,5,35
DFS Iterative Matrix,11,5,11,6,5->9->13->14->15->11,5,193
DFS Recursive List,23,5,11,10,5->1->2->6->10->9->13->14->15->11,9,44
DFS Recrusive Matrix,34,5,11,14,5->1->2->3->4->8->7->6->10->9->13->14->15->11,13,240
DFS Iterative List,11,12,2,9,12->16->15->14->10->9->5->1->2,8,24
DFS Iterative Matrix,10,12,2,9,12->16->15->14->13->9->5->6->2,8,177
DFS Recursive List,15,12,2,5,12->8->4->3->2,4,45
DFS Recrusive Matrix,23,12,2,5,12->8->4->3->2,4,240
DFS Iterative List,8,11,16,3,11->12->16,2,8
DFS Iterative Matrix,2,11,16,3,11->15->16,2,33
DFS Recursive List,21,11,16,13,11->7->3->2->1->5->6->10->9->13->14->15->16,12,46
DFS Recrusive Matrix,21,11,16,13,11->7->3->2->1->5->6->10->9->13->14->15->16,12,240
DFS Iterative List,10,5,8,8,5->9->13->14->15->16->12->8,7,20
DFS Iterative Matrix,4,5,8,8,5->9->13->14->15->16->12->8,7,113
DFS Recursive List,17,5,8,14,5->1->2->6->10->9->13->14->15->11->7->3->4->8,13,45
DFS Recrusive Matrix,27,5,8,6,5->1->2->3->4->8,5,240
DFS Iterative List,2,1,1,1,1,0,1
DFS Iterative Matrix,1,1,1,1,1,0,1
DFS Recursive List,2,1,1,1,1,0,0
DFS Recrusive Matrix,2,1,1,1,1,0,0
DFS Iterative List,9,10,4,5,10->11->12->8->4,4,17
DFS Iterative Matrix,9,10,4,7,10->14->15->16->12->8->4,6,177
DFS Recursive List,18,10,4,13,10->6->2->1->5->9->13->14->15->11->7->3->4,12,46
DFS Recrusive Matrix,25,10,4,13,10->6->2->1->5->9->13->14->15->11->7->3->4,12,240
DFS Iterative List,7,4,8,2,4->8,1,3
DFS Iterative Matrix,6,4,8,2,4->8,1,17
DFS Recursive List,48,4,8,14,4->3->2->1->5->6->10->9->13->14->15->11->7->8,13,45
DFS Recrusive Matrix,21,4,8,8,4->3->2->1->5->6->7->8,7,240
DFS Iterative List,184,9,15,4,9->13->14->15,3,9
DFS Iterative Matrix,21,9,15,4,9->13->14->15,3,49
DFS Recursive List,25,9,15,8,9->5->1->2->6->10->14->15,7,45
DFS Recrusive Matrix,34,9,15,14,9->5->1->2->3->4->8->7->6->10->11->12->16->15,13,240
DFS Iterative List,19,4,1,10,4->8->12->16->15->14->10->9->5->1,9,27
DFS Iterative Matrix,19,4,1,10,4->8->12->16->15->14->13->9->5->1,9,177
DFS Recursive List,25,4,1,4,4->3->2->1,3,46
DFS Recrusive Matrix,15,4,1,4,4->3->2->1,3,240
DFS Iterative List,9,2,4,3,2->3->4,2,7
DFS Iterative Matrix,9,2,4,9,2->6->10->14->15->16->12->8->4,8,129
DFS Recursive List,26,2,4,13,2->1->5->6->10->9->13->14->15->11->7->3->4,12,46
DFS Recrusive Matrix,18,2,4,7,2->1->5->6->7->3->4,6,240
DFS Iterative List,12,6,13,8,6->7->8->12->16->15->14->13,7,23
DFS Iterative Matrix,13,6,13,4,6->10->14->13,3,145
DFS Recursive List,17,6,13,8,6->2->1->5->9->10->14->13,7,46
DFS Recrusive Matrix,22,6,13,16,6->2->1->5->9->10->11->7->3->4->8->12->16->15->14->13,15,240
DFS Iterative List,12,10,16,4,10->11->12->16,3,12
DFS Iterative Matrix,8,10,16,4,10->14->15->16,3,49
DFS Recursive List,23,10,16,16,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,15,46
DFS Recrusive Matrix,23,10,16,16,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,15,240
DFS Iterative List,13,2,11,6,2->3->4->8->12->11,5,35
DFS Iterative Matrix,5,2,11,4,2->6->10->11,3,161
DFS Recursive List,10,2,11,10,2->1->5->6->10->9->13->14->15->11,9,44
DFS Recrusive Matrix,29,2,11,10,2->1->5->6->7->3->4->8->12->11,9,240
DFS Iterative List,7,2,13,9,2->3->4->8->12->16->15->14->13,8,33
DFS Iterative Matrix,4,2,13,5,2->6->10->14->13,4,145
DFS Recursive List,8,2,13,7,2->1->5->6->10->9->13,6,46
DFS Recrusive Matrix,18,2,13,13,2->1->5->6->7->3->4->8->12->11->10->9->13,12,240
DFS Iterative List,5,9,8,7,9->13->14->15->16->12->8,6,17
DFS Iterative Matrix,2,9,8,7,9->13->14->15->16->12->8,6,97
DFS Recursive List,11,9,8,13,9->5->1->2->6->10->14->15->11->7->3->4->8,12,45
DFS Recrusive Matrix,19,9,8,7,9->5->1->2->3->4->8,6,240
DFS Iterative List,10,4,10,7,4->8->12->16->15->14->10,6,17
DFS Iterative Matrix,5,4,10,7,4->8->12->16->15->14->10,6,193
DFS Recursive List,8,4,10,7,4->3->2->1->5->6->10,6,44
DFS Recrusive Matrix,34,4,10,11,4->3->2->1->5->6->7->8->12->11->10,10,240
DFS Iterative List,6,13,6,8,13->14->15->16->12->8->7->6,7,21
DFS Iterative Matrix,3,13,6,8,13->14->15->16->12->8->7->6,7,113
DFS Recursive List,8,13,6,6,13->9->5->1->2->6,5,44
DFS Recrusive Matrix,26,13,6,10,13->9->5->1->2->3->4->8->7->6,9,240
DFS Iterative List,7,9,6,9,9->13->14->15->16->12->8->7->6,8,24
DFS Iterative Matrix,4,9,6,9,9->13->14->15->16->12->8->7->6,8,129
DFS Recursive List,7,9,6,5,9->5->1->2->6,4,44
DFS Recrusive Matrix,23,9,6,9,9->5->1->2->3->4->8->7->6,8,240
DFS Iterative List,7,14,13,2,14->13,1,47
DFS Iterative Matrix,5,14,13,2,14->13,1,225
DFS Recursive List,5,14,13,2,14->13,1,46
DFS Recrusive Matrix,12,14,13,8,14->10->6->2->1->5->9->13,7,240
DFS Iterative List,4,1,9,3,1->5->9,2,6
DFS Iterative Matrix,2,1,9,3,1->5->9,2,33
DFS Recursive List,7,1,9,5,1->2->6->5->9,4,45
DFS Recrusive Matrix,24,1,9,9,1->2->3->4->8->7->6->5->9,8,240
DFS Iterative List,7,1,8,9,1->5->9->13->14->15->16->12->8,8,22
DFS Iterative Matrix,3,1,8,9,1->5->9->13->14->15->16->12->8,8,129
DFS Recursive List,56,1,8,13,1->2->6->5->9->10->14->15->11->7->3->4->8,12,45
DFS Recrusive Matrix,20,1,8,5,1->2->3->4->8,4,240
DFS Iterative List,5,16,10,4,16->12->11->10,3,10
DFS Iterative Matrix,6,16,10,4,16->15->14->10,3,209
DFS Recursive List,16,16,10,10,16->15->14->13->9->5->1->2->6->10,9,44
DFS Recrusive Matrix,34,16,10,12,16->12->8->4->3->2->1->5->6->7->11->10,11,240
DFS Iterative List,10,9,5,2,9->5,1,46
DFS Iterative Matrix,10,9,5,2,9->5,1,241
DFS Recursive List,11,9,5,2,9->5,1,45
DFS Recrusive Matrix,15,9,5,2,9->5,1,240
DFS Iterative List,9,5,7,9,5->9->13->14->15->16->12->8->7,8,23
DFS Iterative Matrix,6,5,7,9,5->9->13->14->15->16->12->8->7,8,129
DFS Recursive List,16,5,7,11,5->1->2->6->10->9->13->14->15->11->7,10,44
DFS Recrusive Matrix,28,5,7,7,5->1->2->3->4->8->7,6,240
DFS Iterative List,9,15,1,8,15->16->12->8->7->6->5->1,7,32
DFS Iterative Matrix,7,15,1,8,15->16->12->8->7->6->5->1,7,161
DFS Recursive List,12,15,1,6,15->14->13->9->5->1,5,46
DFS Recrusive Matrix,15,15,1,6,15->11->7->3->2->1,5,240
DFS Iterative List,14,15,6,6,15->16->12->8->7->6,5,16
DFS Iterative Matrix,5,15,6,6,15->16->12->8->7->6,5,81
DFS Recursive List,19,15,6,8,15->14->13->9->5->1->2->6,7,44
DFS Recrusive Matrix,37,15,6,8,15->11->7->3->2->1->5->6,7,240
DFS Iterative List,8,9,14,3,9->13->14,2,6
DFS Iterative Matrix,4,9,14,3,9->13->14,2,33
DFS Recursive List,18,9,14,7,9->5->1->2->6->10->14,6,45
DFS Recrusive Matrix,25,9,14,15,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,14,240
DFS Iterative List,8,12,8,2,12->8,1,46
DFS Iterative Matrix,8,12,8,2,12->8,1,241
DFS Recursive List,10,12,8,2,12->8,1,45
DFS Recrusive Matrix,19,12,8,2,12->8,1,240
DFS Iterative List,6,5,15,5,5->9->13->14->15,4,12
DFS Iterative Matrix,4,5,15,5,5->9->13->14->15,4,65
DFS Recursive List,13,5,15,9,5->1->2->6->10->9->13->14->15,8,45
DFS Recrusive Matrix,30,5,15,13,5->1->2->3->4->8->7->6->10->9->13->14->15,12,240
DFS Iterative List,3,16,11,3,16->12->11,2,6
DFS Iterative Matrix,6,16,11,3,16->15->11,2,225
DFS Recursive List,10,16,11,11,16->15->14->13->9->5->1->2->6->10->11,10,44
DFS Recrusive Matrix,28,16,11,11,16->12->8->4->3->2->1->5->6->7->11,10,240
DFS Iterative List,4,11,3,5,11->12->8->4->3,4,15
DFS Iterative Matrix,4,11,3,9,11->15->14->13->9->5->6->2->3,8,145
DFS Recursive List,6,11,3,3,11->7->3,2,45
DFS Recrusive Matrix,20,11,3,3,11->7->3,2,240
DFS Iterative List,7,16,8,3,16->12->8,2,43
DFS Iterative Matrix,3,16,8,9,16->15->14->13->9->5->6->7->8,8,129
DFS Recursive List,14,16,8,15,16->15->14->13->9->5->1->2->6->10->11->7->3->4->8,14,45
DFS Recrusive Matrix,14,16,8,3,16->12->8,2,240
DFS Iterative List,8,13,4,7,13->14->15->16->12->8->4,6,36
DFS Iterative Matrix,5,13,4,7,13->14->15->16->12->8->4,6,193
DFS Recursive List,13,13,4,13,13->9->5->1->2->6->10->14->15->11->7->3->4,12,46
DFS Recrusive Matrix,16,13,4,7,13->9->5->1->2->3->4,6,240
DFS Iterative List,7,2,13,9,2->3->4->8->12->16->15->14->13,8,33
DFS Iterative Matrix,4,2,13,5,2->6->10->14->13,4,145
DFS Recursive List,8,2,13,7,2->1->5->6->10->9->13,6,46
DFS Recrusive Matrix,19,2,13,13,2->1->5->6->7->3->4->8->12->11->10->9->13,12,240
DFS Iterative List,5,3,10,8,3->4->8->12->16->15->14->10,7,20
DFS Iterative Matrix,4,3,10,4,3->7->11->10,3,177
DFS Recursive List,6,3,10,6,3->2->1->5->6->10,5,44
DFS Recrusive Matrix,26,3,10,10,3->2->1->5->6->7->8->12->11->10,9,240
DFS Iterative List,8,11,14,11,11->12->8->4->3->2->6->5->9->13->14,10,33
DFS Iterative Matrix,2,11,14,3,11->15->14,2,49
DFS Recursive List,10,11,14,11,11->7->3->2->1->5->6->10->9->13->14,10,45
DFS Recrusive Matrix,20,11,14,11,11->7->3->2->1->5->6->10->9->13->14,10,240
DFS Iterative List,4,8,10,6,8->12->16->15->14->10,5,15
