Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited,Cost
DFS Iterative List,17,2,4,3,2->3->4,2,7
DFS Iterative Matrix,18,2,4,9,2->6->10->14->15->16->12->8->4,8,129
DFS Recursive List,21,2,4,13,2->1->5->6->10->9->13->14->15->11->7->3->4,12,46
DFS Recrusive Matrix,12,2,4,7,2->1->5->6->7->3->4,6,240
DFS Iterative List,5,1,15,6,1->5->9->13->14->15,5,14
DFS Iterative Matrix,3,1,15,6,1->5->9->13->14->15,5,81
DFS Recursive List,7,1,15,8,1->2->6->5->9->10->14->15,7,45
DFS Recrusive Matrix,29,1,15,14,1->2->3->4->8->7->6->5->9->10->11->12->16->15,13,240
DFS Iterative List,7,14,1,9,14->15->16->12->8->7->6->5->1,8,29
DFS Iterative Matrix,4,14,1,9,14->15->16->12->8->7->6->5->1,8,145
DFS Recursive List,7,14,1,5,14->13->9->5->1,4,46
DFS Recrusive Matrix,14,14,1,5,14->10->6->2->1,4,240
DFS Iterative List,6,2,8,4,2->3->4->8,3,9
DFS Iterative Matrix,5,2,8,8,2->6->10->14->15->16->12->8,7,113
DFS Recursive List,23,2,8,14,2->1->5->6->10->9->13->14->15->11->7->3->4->8,13,45
DFS Recrusive Matrix,24,2,8,8,2->1->5->6->7->3->4->8,7,240
DFS Iterative List,5,11,8,3,11->12->8,2,10
DFS Iterative Matrix,5,11,8,11,11->15->14->13->9->5->6->2->3->4->8,10,177
DFS Recursive List,14,11,8,15,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8,14,45
DFS Recrusive Matrix,20,11,8,15,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8,14,240
DFS Iterative List,8,9,10,2,9->10,1,42
DFS Iterative Matrix,6,9,10,2,9->10,1,225
DFS Recursive List,8,9,10,6,9->5->1->2->6->10,5,44
DFS Recrusive Matrix,27,9,10,10,9->5->1->2->3->4->8->7->6->10,9,240
DFS Iterative List,7,11,9,9,11->12->8->4->3->2->6->5->9,8,28
DFS Iterative Matrix,3,11,9,5,11->15->14->13->9,4,81
DFS Recursive List,10,11,9,9,11->7->3->2->1->5->6->10->9,8,45
DFS Recrusive Matrix,22,11,9,9,11->7->3->2->1->5->6->10->9,8,240
DFS Iterative List,4,14,12,4,14->15->16->12,3,9
DFS Iterative Matrix,2,14,12,4,14->15->16->12,3,49
DFS Recursive List,13,14,12,14,14->13->9->5->1->2->6->10->11->7->3->4->8->12,13,45
DFS Recrusive Matrix,24,14,12,10,14->10->6->2->3->4->8->7->11->12,9,240
DFS Iterative List,7,15,14,2,15->14,1,46
DFS Iterative Matrix,5,15,14,2,15->14,1,225
DFS Recursive List,5,15,14,2,15->14,1,45
DFS Recrusive Matrix,20,15,14,12,15->11->7->3->2->1->5->6->10->9->13->14,11,240
DFS Iterative List,3,10,11,2,10->11,1,5
DFS Iterative Matrix,5,10,11,2,10->11,1,209
DFS Recursive List,10,10,11,10,10->6->2->1->5->9->13->14->15->11,9,44
DFS Recrusive Matrix,30,10,11,10,10->6->2->1->5->9->13->14->15->11,9,240
DFS Iterative List,7,4,3,2,4->3,1,46
DFS Iterative Matrix,6,4,3,2,4->3,1,241
DFS Recursive List,6,4,3,2,4->3,1,45
DFS Recrusive Matrix,13,4,3,2,4->3,1,240
DFS Iterative List,5,5,15,5,5->9->13->14->15,4,12
DFS Iterative Matrix,3,5,15,5,5->9->13->14->15,4,65
DFS Recursive List,10,5,15,9,5->1->2->6->10->9->13->14->15,8,45
DFS Recrusive Matrix,28,5,15,13,5->1->2->3->4->8->7->6->10->9->13->14->15,12,240
DFS Iterative List,2,11,12,2,11->12,1,5
DFS Iterative Matrix,5,11,12,2,11->12,1,209
DFS Recursive List,13,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,13,45
DFS Recrusive Matrix,19,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,13,240
DFS Iterative List,4,10,16,4,10->11->12->16,3,12
DFS Iterative Matrix,2,10,16,4,10->14->15->16,3,49
DFS Recursive List,12,10,16,16,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,15,46
DFS Recrusive Matrix,16,10,16,16,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,15,240
DFS Iterative List,13,9,11,5,9->13->14->15->11,4,38
DFS Iterative Matrix,7,9,11,5,9->13->14->15->11,4,209
DFS Recursive List,10,9,11,9,9->5->1->2->6->10->14->15->11,8,44
DFS Recrusive Matrix,32,9,11,11,9->5->1->2->3->4->8->7->6->10->11,10,240
DFS Iterative List,6,15,11,2,15->11,1,42
DFS Iterative Matrix,7,15,11,2,15->11,1,241
DFS Recursive List,11,15,11,10,15->14->13->9->5->1->2->6->10->11,9,44
DFS Recrusive Matrix,22,15,11,2,15->11,1,240
DFS Iterative List,6,16,5,6,16->12->11->10->9->5,5,22
DFS Iterative Matrix,3,16,5,6,16->15->14->13->9->5,5,81
DFS Recursive List,8,16,5,6,16->15->14->13->9->5,5,45
DFS Recrusive Matrix,22,16,5,8,16->12->8->4->3->2->1->5,7,240
DFS Iterative List,3,4,12,3,4->8->12,2,6
DFS Iterative Matrix,2,4,12,3,4->8->12,2,33
DFS Recursive List,13,4,12,15,4->3->2->1->5->6->10->9->13->14->15->11->7->8->12,14,45
DFS Recrusive Matrix,25,4,12,9,4->3->2->1->5->6->7->8->12,8,240
DFS Iterative List,4,6,16,5,6->7->8->12->16,4,15
DFS Iterative Matrix,3,6,16,5,6->10->14->15->16,4,65
DFS Recursive List,13,6,16,15,6->2->1->5->9->10->14->15->11->7->3->4->8->12->16,14,46
DFS Recrusive Matrix,16,6,16,13,6->2->1->5->9->10->11->7->3->4->8->12->16,12,240
DFS Iterative List,7,14,3,7,14->15->16->12->8->7->3,6,34
DFS Iterative Matrix,4,14,3,7,14->15->16->12->8->7->3,6,177
DFS Recursive List,11,14,3,11,14->13->9->5->1->2->6->10->11->7->3,10,45
DFS Recrusive Matrix,15,14,3,5,14->10->6->2->3,4,240
DFS Iterative List,2,11,12,2,11->12,1,5
DFS Iterative Matrix,5,11,12,2,11->12,1,209
DFS Recursive List,13,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,13,45
DFS Recrusive Matrix,18,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,13,240
DFS Iterative List,2,10,11,2,10->11,1,5
DFS Iterative Matrix,5,10,11,2,10->11,1,209
DFS Recursive List,10,10,11,10,10->6->2->1->5->9->13->14->15->11,9,44
DFS Recrusive Matrix,29,10,11,10,10->6->2->1->5->9->13->14->15->11,9,240
DFS Iterative List,5,16,5,6,16->12->11->10->9->5,5,22
DFS Iterative Matrix,2,16,5,6,16->15->14->13->9->5,5,81
DFS Recursive List,7,16,5,6,16->15->14->13->9->5,5,45
DFS Recrusive Matrix,20,16,5,8,16->12->8->4->3->2->1->5,7,240
DFS Iterative List,4,11,3,5,11->12->8->4->3,4,15
DFS Iterative Matrix,4,11,3,9,11->15->14->13->9->5->6->2->3,8,145
DFS Recursive List,6,11,3,3,11->7->3,2,45
DFS Recrusive Matrix,18,11,3,3,11->7->3,2,240
DFS Iterative List,1,5,5,1,5,0,1
DFS Iterative Matrix,1,5,5,1,5,0,1
DFS Recursive List,1,5,5,1,5,0,0
DFS Recrusive Matrix,1,5,5,1,5,0,0
DFS Iterative List,1,8,8,1,8,0,1
DFS Iterative Matrix,1,8,8,1,8,0,1
DFS Recursive List,1,8,8,1,8,0,0
DFS Recrusive Matrix,1,8,8,1,8,0,0
DFS Iterative List,7,1,6,3,1->5->6,2,42
DFS Iterative Matrix,5,1,6,3,1->5->6,2,225
DFS Recursive List,6,1,6,3,1->2->6,2,44
DFS Recrusive Matrix,22,1,6,7,1->2->3->4->8->7->6,6,240
DFS Iterative List,1,15,15,1,15,0,1
DFS Iterative Matrix,1,15,15,1,15,0,1
DFS Recursive List,1,15,15,1,15,0,0
DFS Recrusive Matrix,0,15,15,1,15,0,0
DFS Iterative List,6,4,10,7,4->8->12->16->15->14->10,6,17
DFS Iterative Matrix,5,4,10,7,4->8->12->16->15->14->10,6,193
DFS Recursive List,11,4,10,7,4->3->2->1->5->6->10,6,44
DFS Recrusive Matrix,32,4,10,11,4->3->2->1->5->6->7->8->12->11->10,10,240
DFS Iterative List,8,16,8,3,16->12->8,2,43
DFS Iterative Matrix,3,16,8,9,16->15->14->13->9->5->6->7->8,8,129
DFS Recursive List,9,16,8,15,16->15->14->13->9->5->1->2->6->10->11->7->3->4->8,14,45
DFS Recrusive Matrix,10,16,8,3,16->12->8,2,240
DFS Iterative List,8,3,7,2,3->7,1,42
DFS Iterative Matrix,1,3,7,2,3->7,1,17
DFS Recursive List,13,3,7,12,3->2->1->5->6->10->9->13->14->15->11->7,11,44
DFS Recrusive Matrix,25,3,7,6,3->2->1->5->6->7,5,240
DFS Iterative List,2,16,12,2,16->12,1,3
DFS Iterative Matrix,6,16,12,2,16->12,1,241
DFS Recursive List,14,16,12,16,16->15->14->13->9->5->1->2->6->10->11->7->3->4->8->12,15,45
DFS Recrusive Matrix,10,16,12,2,16->12,1,240
DFS Iterative List,4,7,15,5,7->8->12->16->15,4,13
DFS Iterative Matrix,2,7,15,3,7->11->15,2,33
DFS Recursive List,8,7,15,11,7->3->2->1->5->6->10->9->13->14->15,10,45
DFS Recrusive Matrix,16,7,15,11,7->3->2->1->5->6->10->9->13->14->15,10,240
DFS Iterative List,2,15,16,2,15->16,1,4
DFS Iterative Matrix,1,15,16,2,15->16,1,17
DFS Recursive List,10,15,16,16,15->14->13->9->5->1->2->6->10->11->7->3->4->8->12->16,15,46
DFS Recrusive Matrix,7,15,16,8,15->11->7->3->4->8->12->16,7,240
DFS Iterative List,7,11,10,2,11->10,1,41
DFS Iterative Matrix,9,11,10,2,11->10,1,225
DFS Recursive List,12,11,10,8,11->7->3->2->1->5->6->10,7,44
DFS Recrusive Matrix,24,11,10,8,11->7->3->2->1->5->6->10,7,240
DFS Iterative List,3,8,12,2,8->12,1,4
DFS Iterative Matrix,2,8,12,2,8->12,1,17
DFS Recursive List,14,8,12,14,8->4->3->2->1->5->6->10->9->13->14->15->11->12,13,45
DFS Recrusive Matrix,24,8,12,16,8->4->3->2->1->5->6->7->11->10->9->13->14->15->16->12,15,240
DFS Iterative List,3,4,4,1,4,0,1
DFS Iterative Matrix,2,4,4,1,4,0,1
DFS Recursive List,1,4,4,1,4,0,0
DFS Recrusive Matrix,2,4,4,1,4,0,0
DFS Iterative List,9,8,13,6,8->12->16->15->14->13,5,37
DFS Iterative Matrix,4,8,13,6,8->12->16->15->14->13,5,81
DFS Recursive List,11,8,13,10,8->4->3->2->1->5->6->10->9->13,9,46
DFS Recrusive Matrix,18,8,13,12,8->4->3->2->1->5->6->7->11->10->9->13,11,240
DFS Iterative List,8,4,1,10,4->8->12->16->15->14->10->9->5->1,9,27
DFS Iterative Matrix,5,4,1,10,4->8->12->16->15->14->13->9->5->1,9,177
DFS Recursive List,8,4,1,4,4->3->2->1,3,46
DFS Recrusive Matrix,11,4,1,4,4->3->2->1,3,240
DFS Iterative List,44,1,16,7,1->5->9->13->14->15->16,6,17
DFS Iterative Matrix,5,1,16,7,1->5->9->13->14->15->16,6,97
DFS Recursive List,15,1,16,15,1->2->6->5->9->10->14->15->11->7->3->4->8->12->16,14,46
DFS Recrusive Matrix,21,1,16,13,1->2->3->4->8->7->6->5->9->10->11->12->16,12,240
DFS Iterative List,5,10,12,3,10->11->12,2,9
DFS Iterative Matrix,4,10,12,5,10->14->15->16->12,4,65
DFS Recursive List,14,10,12,15,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12,14,45
DFS Recrusive Matrix,30,10,12,15,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12,14,240
DFS Iterative List,9,14,3,7,14->15->16->12->8->7->3,6,34
DFS Iterative Matrix,6,14,3,7,14->15->16->12->8->7->3,6,177
DFS Recursive List,12,14,3,11,14->13->9->5->1->2->6->10->11->7->3,10,45
DFS Recrusive Matrix,13,14,3,5,14->10->6->2->3,4,240
DFS Iterative List,6,10,4,5,10->11->12->8->4,4,17
DFS Iterative Matrix,23,10,4,7,10->14->15->16->12->8->4,6,177
DFS Recursive List,32,10,4,13,10->6->2->1->5->9->13->14->15->11->7->3->4,12,46
DFS Recrusive Matrix,33,10,4,13,10->6->2->1->5->9->13->14->15->11->7->3->4,12,240
DFS Iterative List,17,9,14,3,9->13->14,2,6
DFS Iterative Matrix,12,9,14,3,9->13->14,2,33
DFS Recursive List,24,9,14,7,9->5->1->2->6->10->14,6,45
DFS Recrusive Matrix,29,9,14,15,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,14,240
DFS Iterative List,8,10,8,4,10->11->12->8,3,14
DFS Iterative Matrix,5,10,8,6,10->14->15->16->12->8,5,81
DFS Recursive List,28,10,8,14,10->6->2->1->5->9->13->14->15->11->7->3->4->8,13,45
DFS Recrusive Matrix,27,10,8,14,10->6->2->1->5->9->13->14->15->11->7->3->4->8,13,240
DFS Iterative List,8,12,2,9,12->16->15->14->10->9->5->1->2,8,24
DFS Iterative Matrix,5,12,2,9,12->16->15->14->13->9->5->6->2,8,177
DFS Recursive List,8,12,2,5,12->8->4->3->2,4,45
DFS Recrusive Matrix,17,12,2,5,12->8->4->3->2,4,240
DFS Iterative List,18,5,3,10,5->9->13->14->15->16->12->8->7->3,9,27
DFS Iterative Matrix,16,5,3,10,5->9->13->14->15->16->12->8->7->3,9,145
DFS Recursive List,24,5,3,12,5->1->2->6->10->9->13->14->15->11->7->3,11,45
DFS Recrusive Matrix,20,5,3,4,5->1->2->3,3,240
DFS Iterative List,5,7,15,5,7->8->12->16->15,4,13
DFS Iterative Matrix,2,7,15,3,7->11->15,2,33
DFS Recursive List,13,7,15,11,7->3->2->1->5->6->10->9->13->14->15,10,45
DFS Recrusive Matrix,24,7,15,11,7->3->2->1->5->6->10->9->13->14->15,10,240
DFS Iterative List,2,1,1,1,1,0,1
DFS Iterative Matrix,1,1,1,1,1,0,1
DFS Recursive List,1,1,1,1,1,0,0
DFS Recrusive Matrix,1,1,1,1,1,0,0
